winner_tie,loser_tie,Winner Conference,Loser Conference,year,date,day,bowl_name,winner_points,loser_points,Winner 2024 Avg Attendance,Winner 2023 Avg Attendance,Winner 5 Yr Avg Attendance,Loser 2024 Avg Attendance,Loser 2023 Avg Attendance,Loser 5 Yr Avg Attendance,Winner Capacity %,Loser Capacity %
Oklahoma,Oregon,SEC,Big Ten,2021,2021-12-29,Wed,Alamo Bowl,47,32,83513,83741,83073,59104,55895,53384,104,109
Texas,Colorado,SEC,Big 12,2020,2020-12-29,Tue,Alamo Bowl,55,23,102386,101625,97565,52514,53180,47579,102,104
Texas,Utah,SEC,Big 12,2019,2019-12-31,Tue,Alamo Bowl,38,10,102386,101625,97565,52962,52499,49833,102,102
Washington State,Iowa State,Pac-12,Big 12,2018,2018-12-28,Fri,Alamo Bowl,28,26,22413,28023,27211,57884,60384,58847,69,94
Oklahoma State,Colorado,Big 12,Big 12,2016,2016-12-29,Thu,Alamo Bowl,38,8,52202,53891,53999,52514,53180,47579,100,104
UCLA,Kansas State,Big Ten,Big 12,2014,2015-01-02,Fri,Alamo Bowl,40,35,46805,47951,46075,51536,51957,49609,51,103
Oregon,Texas,Big Ten,SEC,2013,2013-12-30,Mon,Alamo Bowl,30,7,59104,55895,53384,102386,101625,97565,109,102
Texas,Oregon State,SEC,Pac-12,2012,2012-12-29,Sat,Alamo Bowl,31,27,102386,101625,97565,35799,36969,33325,102,100
Baylor,Washington,Big 12,Big Ten,2011,2011-12-29,Thu,Alamo Bowl,67,56,42302,43388,44087,68865,68814,66220,93,98
Oklahoma State,Arizona,Big 12,Big 12,2010,2010-12-29,Wed,Alamo Bowl,36,10,52202,53891,53999,46747,47320,42279,100,83
Texas Tech,Michigan State,Big 12,Big Ten,2009,2010-01-02,Sat,Alamo Bowl,41,31,58623,54491,54643,65307,70211,69959,97,87
Penn State,Texas A&M,Big Ten,SEC,2007,2007-12-29,Sat,Alamo Bowl,24,17,108379,108409,106750,102847,99234,100156,101,100
Texas,Iowa,SEC,Big Ten,2006,2006-12-30,Sat,Alamo Bowl,26,24,102386,101625,97565,69250,69250,67775,102,100
Nebraska,Michigan,Big Ten,Big Ten,2005,2005-12-28,Wed,Alamo Bowl,32,28,86900,86802,87599,110548,109971,110235,101,102
Ohio State,Oklahoma State,Big Ten,Big 12,2004,2004-12-29,Wed,Alamo Bowl,33,7,104216,103792,102108,52202,53891,53999,101,100
Nebraska,Michigan State,Big Ten,Big Ten,2003,2003-12-29,Mon,Alamo Bowl,17,3,86900,86802,87599,65307,70211,69959,101,87
Wisconsin,Colorado,Big Ten,Big 12,2002,2002-12-28,Sat,Alamo Bowl,31,28,76057,75391,75328,52514,53180,47579,100,104
Iowa,Texas Tech,Big Ten,Big 12,2001,2001-12-29,Sat,Alamo Bowl,19,16,69250,69250,67775,58623,54491,54643,100,97
Penn State,Texas A&M,Big Ten,SEC,1999,1999-12-28,Tue,Alamo Bowl,24,0,108379,108409,106750,102847,99234,100156,101,100
Purdue,Kansas State,Big Ten,Big 12,1998,1998-12-29,Tue,Alamo Bowl,37,34,59887,58248,55370,51536,51957,49609,97,103
Purdue,Oklahoma State,Big Ten,Big 12,1997,1997-12-30,Tue,Alamo Bowl,33,20,59887,58248,55370,52202,53891,53999,97,100
Iowa,Texas Tech,Big Ten,Big 12,1996,1996-12-29,Sun,Alamo Bowl,27,0,69250,69250,67775,58623,54491,54643,100,97
